row-cell,Tiktoker name,Tiktok name,"
Followers",Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
197,0,0,3600000,3000000,665500,1700,865
198,0,0,7600000,3000000,393900,2300,2100
199,0,0,1500000,2000000,370800,984,5800
200,0,0,8800000,2500000,194100,4400,5900
201,0,0,6800000,1700000,154600,650,18800
202,0,0,7700000,4000000,415400,2400,568
203,0,0,2200000,2000000,188700,8600,4500
204,0,0,14600000,3600000,446500,1500,1500
205,0,0,36600000,4400000,425400,1800,764
206,0,0,8300000.000000001,5100000,540800,1000,699
207,0,0,4500000,5000000,599200,998,587
208,0,0,2100000,2400000,409000,1700,3100
209,0,0,9300000,3400000,429600,3000,249
210,0,0,6400000,4300000,550000,1300,641
211,0,0,3500000,2300000,283500,1500,5600
212,0,0,10200000,4500000,564600,1300,537
213,0,0,1200000,2300000,201300,5300,4500
214,0,0,15400000,2700000,458500,2100,1600
215,0,0,5900000,3100000,493800,1400,1600
216,0,0,26500000,3300000,345000,2400,1400
217,0,0,8000000,3400000,385900,1600,1700
218,0,0,5600000,3000000,602000,1800,590
219,0,0,24500000,2900000,283500,3200,2200
220,0,0,12800000,4200000,478000,1100,1100
221,0,0,485400,1800000,366400,2700,4000
222,0,0,3400000,3000000,208500,4900,1900
223,0,0,4300000,2900000,434600,1600,1800
224,0,0,1100000,1500000,179900,194,14800
225,0,0,28800000,2800000,432100,1600,1800
226,0,0,16600000.000000002,3600000,292500,2000,1800
227,0,0,14600000,2300000,504400,1400,2200
228,0,0,5900000,3800000,367700,2400,446
229,0,0,16900000,4300000,240900,3100,880
230,0,0,569300,4500000,510100,856,894
231,0,0,13800000,4900000,278600,2400,524
232,0,0,4400000,3600000,771700,1000,399
233,0,0,566100,2300000,132400,4500,8500
234,0,0,5300000,1700000,388200,2700,3400
235,0,0,1800000,3200000,342300,762,2900
236,0,0,2100000,4099999.9999999995,337100,1600,1200
237,0,0,7200000,2200000,257200,2500,4500
238,0,0,8199999.999999999,2600000,243700,1800,4400
239,0,0,7500000,2700000,464000,1800,1400
240,0,0,2800000,3300000,449800,709,1900
241,0,0,3200000,2000000,229700,3200,5100
242,0,0,17400000,2500000,417800,1300,2400
243,0,0,2500000,3500000,344000,1900,1200
244,0,0,4400000,2700000,306700,3000,1500
245,0,0,4800000,2700000,622200,1700,533
246,0,0,3000000,4300000,230200,1800,2000
247,0,0,643700,1300000,38400,6200,71000
248,0,0,2100000,3500000,329300,1200,2000
249,0,0,11200000,2000000,294200,2400,4000
250,0,0,801100,5100000,299200,1900,446
251,0,0,15900000,3400000,491700,1500,544
252,0,0,4700000,2200000,505200,2200,969
253,0,0,2400000,2100000,341500,1000,3800
254,0,0,7400000,1800000,280700,1500,5200
255,0,0,6700000,1800000,319900,3100,2800
256,0,0,387300,888500,111900,5700,28300
257,0,0,2600000,3800000,480500,942,931
258,0,0,2700000,2500000,300200,1700,2800
259,0,0,20500000,2400000,395600,2800,725
260,0,0,5800000,3200000,360400,1900,936
261,0,0,8100000,3100000,552500,879,1000
262,0,0,20000000,3900000,631800,1000,308
263,0,0,1700000,6200000,352400,1200,313
264,0,0,2200000,4099999.9999999995,123200,1400,4900
265,0,0,6000000,3700000,410900,1100,1000
266,0,0,52300000,5200000,550400,639,469
267,0,0,10100000,3600000,500600,1300,436
268,0,0,1500000,1900000,236500,892,6100
269,0,0,25000000,3900000,392500,1300,759
270,0,0,2300000,3700000,305300,2300,563
271,0,0,9900000,2600000,507300,1300,1100
272,0,0,3400000,2000000,273900,2000,3900
273,0,0,6400000,3000000,453000,689,1600
274,0,0,1800000,1700000,318700,1300,4400
275,0,0,5600000,2900000,371200,695,2100
276,0,0,3600000,1700000,244300,3200,4200
277,0,0,1400000,3300000,648600,883,510
278,0,0,2700000,5600000,261600.00000000003,709,1300
279,0,0,3300000,4099999.9999999995,250300,865,2000
280,0,0,28700,2000000,458200,1600,1600
281,0,0,2600000,1800000,202100,5900,2500
282,0,0,23600000,2900000,415800,1600,897
283,0,0,10400000,1700000,344500,1500,3600
284,0,0,37500000,3300000,317000,1700,1100
285,0,0,7700000,3600000,398200,1400,619
286,0,0,2400000,2400000,183300,1200,5400
