218,Dasi Gantung,59000000,46000000,6485000,842,13000
219,Vanessa Lopes,252000000,34000000,3278000,36000,19000
220,ALEX 3,29000000,16000000,4671000,39000,44000
221,bretmanrock,144000000,29000000,5999000,2000,14000
222,Brody Wellmaker,216000000,3000000,4303000,36000,1000
223,James Charles,369000000,42000000,3564000,29000,11000
224,pablitocastilloo,58000000,2000000,2347000,18000,108000
225,Louisa Jindaoui,2000000,34000000,4922000,16000,19000
226,fredi pÃrs,32000000,16000000,364000,38000,66000
227,IVEofficial,3000000,24000000,3556000,41000,27000
228,hannahbahng,24000000,17000000,4794000,58000,13000
229,Nikocado Avocado,17000000,34000000,131000,69000,6000
230,Andrew Curtis,28000000,2000000,3419000,55000,29000
231,ðŸÄáºt VillaðŸ,69000000,27000000,192000,86000,26000
232,Santi Perez,18000000,25000000,4183000,18000,38000
233,AÃucena Guirra,115000000,32000000,5399000,25000,755
234,thalitaKarter,39000000,34000000,2002000,12000,69000
235,David Costa,53000000,35000000,4805000,19000,14000
236,nova,104000000,38000000,4008000,24000,11000
237,Gregismsâ Neighborhood,24000000,14000000,2358000,43000,123000
238,CLAUS,54000000,27000000,3401000,23000,37000
239,Ha Linh Official,27000000,41000000,3465000,24000,14000
240,Kaan,33000000,16000000,4115000,34000,47000
241,nicocaponecomedy,231000000,46000000,3173000,14000,23000
242,Aitch,2000000,35000000,3514000,21000,23000
243,Kirbyyy,1879000,21000000,2749000,15000,76000
244,Bryce Hall,227000000,48000000,4978000,15000,711
245,aikihoruus,59000,15000000,2766000,22000,108000
246,Emilly Vick,121000000,54000000,4448000,14000,799
247,Äá Äáºt,76000000,37000000,3682000,26000,11000
248,D A R I A NR O J A S,307000000,33000000,5424000,24000,440
249,Nicolas Sturniolo,33000000,25000000,4121000,44000,582
250,Ricardo Gaeta,7378000,21000000,232000,49000,53000
251,G I O V A N N IðŸ,8583000,22000000,3176000,3000,41000
252,GirlsGeneration,7835000,27000000,3552000,29000,24000
253,Eu Pereira,78000000,36000000,3957000,13000,21000
254,Sabrina Carpenter,126000000,32000000,3465000,33000,12000
255,Leymar Brown,6339000,2000000,2515000,26000,71000
256,Feid,35000000,31000000,3817000,15000,26000
257,QCP,108000000,39000000,5291000,14000,948
258,Tooturnttony,177000000,37000000,3555000,26000,11000
259,THEODORT,15000000,26000000,5633000,25000,773
260,Drew Afualo,77000000,2000000,3221000,65000,977
261,maliha,9176000,21000000,475000,29000,18000
262,Runa,9494000,21000000,5732000,18000,22000
263,Shane Bennett,26000000,26000000,5894000,12000,19000
264,Shadi Srour,22000000,32000000,1964000,23000,52000
265,Ninon Rambaud,1235000,41000000,4415000,15000,11000
266,Kylee Choi,198000,18000000,4835000,3000,23000
267,eljuandiduque,62000000,18000000,1713000,15000,134000
268,ðŸðŸMINAMIðŸðŸ,16000000,2000000,1871000,97000,24000
269,rare doodle,18000000,32000000,3701000,24000,15000
270,BEN YAPARIM  ðŸðŸ,5193000,36000000,1861000,15000,52000
271,The Hype House,211000000,32000000,4417000,27000,523
272,Olivia Dunne,59000000,31000000,3979000,23000,14000
273,BEDDY,55000000,21000000,3482000,41000,2000
274,Ceren YaldÄz,94000000,44000000,1841000,48000,712
275,Michael,65000000,25000000,4427000,23000,18000
276,DunkMVP,35000000,35000000,4057000,14000,18000
277,Jimena,242000000,33000000,5211000,959,16000
278,TANGOZILLA,280000,22000000,4675000,13000,3000
279,Melfouad,13000000,24000000,2094000,21000,66000
280,Tom Felton,101000000,28000000,3035000,31000,2000
281,Bu Kre Sabiâï,4724000,51000000,2552000,659,26000
282,Lucas varela,29000000,2000000,282000,810,67000
283,mndiaye_97,151000000,22000000,4437000,25000,19000
284,Jess,35000000,89000000,471000,775,223
285,ÙØØµØ  ðŸðŸ alsubaie,4000000,29000000,1496000,23000,74000
286,Tammy Hembrow,17000000,38000000,4295000,13000,13000
287,Jack Joseph,32000000,21000000,3231000,25000,38000
288,Paulo Victor Melo,22000000,47000000,4479000,815,12000
289,LÃª Äáºi PhÃt ðŸ,14000000,33000000,3339000,32000,583
290,straykids_japan,81000000,1000000,3449000,76000,39000
